run,time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1,1733766580.6453178,False,True,None,None,6.875,None,None,400,720
1,1733766581.3767834,False,True,None,None,6.875,None,None,400,720
1,1733766581.8863602,False,True,None,None,3.4375,None,None,400,680
1,1733766582.3821602,False,True,None,None,0.0,None,None,400,640
1,1733766582.8863018,False,True,None,None,0.0,None,None,440,640
1,1733766583.3969314,False,True,None,None,0.0,None,None,440,640
1,1733766583.9106677,False,True,None,None,0.0,None,None,440,640
1,1733766584.423062,False,True,None,None,0.0,None,None,440,640
1,1733766584.924603,False,True,None,None,0.0,None,None,440,640
1,1733766585.4366307,False,True,None,None,0.0,None,None,440,640
1,1733766585.946953,False,True,None,None,-3.4375,None,None,480,600
1,1733766586.457425,False,True,None,None,0.0,None,None,480,640
1,1733766586.9565244,False,True,None,None,3.4375,None,None,480,680
1,1733766587.512476,False,True,None,None,6.875,None,None,480,720
1,1733766587.9827924,False,True,None,None,6.875,None,None,480,720
1,1733766588.485104,False,True,None,None,3.4375,None,None,480,680
1,1733766588.997963,False,True,None,None,3.4375,None,None,480,680
1,1733766589.5143175,False,True,None,None,3.4375,None,None,480,680
1,1733766590.0144398,False,True,None,None,0.0,None,None,480,640
1,1733766590.5290396,False,True,None,None,0.0,None,None,480,640
1,1733766591.0466402,False,True,None,None,10.3125,None,None,480,760
2,1733766701.0703728,False,True,None,None,10.3125,None,None,440,760
2,1733766701.8057098,False,True,None,None,6.875,None,None,440,720
2,1733766702.3256214,False,True,None,None,6.875,None,None,440,720
2,1733766702.805844,False,True,None,None,3.4375,None,None,440,680
2,1733766703.3107479,False,True,None,None,0.0,None,None,440,640
2,1733766703.822633,False,True,None,None,0.0,None,None,440,640
2,1733766704.32656,False,True,None,None,0.0,None,None,440,640
2,1733766704.838568,False,True,None,None,0.0,None,None,440,640
2,1733766705.3513134,False,True,None,None,0.0,None,None,440,640
2,1733766705.8629463,False,True,None,None,0.0,None,None,440,640
2,1733766706.372349,False,True,None,None,0.0,None,None,440,640
2,1733766706.8813016,False,True,None,None,0.0,None,None,440,640
2,1733766707.3916225,False,True,None,None,3.4375,None,None,480,680
2,1733766707.9011443,False,True,None,None,6.875,None,None,480,720
2,1733766708.4142458,False,True,None,None,6.875,None,None,480,720
2,1733766708.9097762,False,True,None,None,6.875,None,None,480,720
2,1733766709.4177675,False,True,None,None,6.875,None,None,480,720
2,1733766709.9291856,False,True,None,None,3.4375,None,None,480,680
2,1733766710.4411793,False,True,None,None,3.4375,None,None,480,680
2,1733766710.9485018,False,True,None,None,3.4375,None,None,480,680
2,1733766711.4539528,False,True,None,None,3.4375,None,None,480,680
2,1733766711.9644191,False,True,None,None,0.0,None,None,480,640
2,1733766712.488265,False,True,None,None,0.0,None,None,480,640
2,1733766713.0222394,False,True,None,None,10.3125,None,None,480,760
3,1733766797.5755866,False,True,None,None,6.875,None,None,400,720
3,1733766798.0338748,False,True,None,None,6.875,None,None,400,720
3,1733766798.5272636,False,True,None,None,6.875,None,None,400,720
3,1733766799.037686,False,True,None,None,3.4375,None,None,400,680
3,1733766799.537994,False,True,None,None,3.4375,None,None,400,680
3,1733766800.050101,False,True,None,None,0.0,None,None,440,640
3,1733766800.559766,False,True,None,None,0.0,None,None,440,640
3,1733766801.070943,False,True,None,None,0.0,None,None,440,640
3,1733766801.5804453,False,True,None,None,0.0,None,None,440,640
3,1733766802.0951142,False,True,None,None,0.0,None,None,440,640
3,1733766802.6343195,False,True,None,None,0.0,None,None,440,640
3,1733766803.11215,False,True,None,None,0.0,None,None,440,640
3,1733766803.6083965,False,True,None,None,0.0,None,None,480,640
3,1733766804.1273336,False,True,None,None,3.4375,None,None,480,680
3,1733766804.6422608,False,True,None,None,6.875,None,None,480,720
3,1733766805.150997,False,True,None,None,10.3125,None,None,480,760
3,1733766805.6536493,False,True,None,None,10.3125,None,None,480,760
3,1733766806.1611593,False,True,None,None,6.875,None,None,480,720
3,1733766806.671607,False,True,None,None,6.875,None,None,480,720
3,1733766807.1777408,False,True,None,None,3.4375,None,None,480,680
3,1733766807.7250054,False,True,None,None,3.4375,None,None,480,680
3,1733766808.2038624,False,True,None,None,3.4375,None,None,480,680
3,1733766808.708334,False,True,None,None,0.0,None,None,480,640
3,1733766809.218681,False,True,None,None,0.0,None,None,480,640
3,1733766809.7189784,False,True,None,None,13.75,None,None,480,800
3,1733766810.2458303,False,True,None,None,30.9375,None,None,480,1000
3,1733766810.7490282,False,True,None,None,30.9375,None,None,480,1000
3,1733766811.254511,False,True,None,None,30.9375,None,None,480,1000
3,1733766811.7636633,False,True,None,None,27.5,None,None,480,960
3,1733766812.2721107,False,True,None,None,27.5,None,None,480,960
3,1733766812.8206093,False,True,None,None,24.0625,None,None,480,920
3,1733766813.2891626,False,True,None,None,24.0625,None,None,480,920
3,1733766813.7988496,False,True,None,None,24.0625,None,None,480,920
3,1733766814.308182,False,True,None,None,20.625,None,None,480,880
4,1733766868.5983462,False,True,None,None,6.875,None,None,440,720
4,1733766869.3338125,False,True,None,None,6.875,None,None,440,720
4,1733766869.871232,False,True,None,None,6.875,None,None,440,720
4,1733766870.3430846,False,True,None,None,3.4375,None,None,440,680
4,1733766870.843164,False,True,None,None,3.4375,None,None,440,680
4,1733766871.3629804,False,True,None,None,0.0,None,None,440,640
4,1733766871.8618274,False,True,None,None,0.0,None,None,440,640
4,1733766872.3738928,False,True,None,None,0.0,None,None,440,640
4,1733766872.8815303,False,True,None,None,0.0,None,None,440,640
4,1733766873.3928614,False,True,None,None,0.0,None,None,440,640
4,1733766873.9040706,False,True,None,None,0.0,None,None,440,640
4,1733766874.4093328,False,True,None,None,0.0,None,None,440,640
4,1733766874.9597018,False,True,None,None,0.0,None,None,440,640
4,1733766875.4289713,False,True,None,None,0.0,None,None,480,640
4,1733766875.9417894,False,True,None,None,3.4375,None,None,480,680
4,1733766876.4588647,False,True,None,None,10.3125,None,None,480,760
4,1733766876.9589002,False,True,None,None,13.75,None,None,480,800
4,1733766877.4662468,False,True,None,None,13.75,None,None,480,800
4,1733766877.9746847,False,True,None,None,10.3125,None,None,480,760
5,1733766892.2905273,False,True,None,None,13.75,None,None,440,800
5,1733766893.0135539,False,True,None,None,10.3125,None,None,440,760
5,1733766893.51669,False,True,None,None,6.875,None,None,440,720
5,1733766894.017727,False,True,None,None,6.875,None,None,440,720
5,1733766894.5251448,False,True,None,None,6.875,None,None,440,720
5,1733766895.03019,False,True,None,None,3.4375,None,None,440,680
5,1733766895.5426407,False,True,None,None,3.4375,None,None,440,680
5,1733766896.0529273,False,True,None,None,0.0,None,None,440,640
5,1733766896.5588193,False,True,None,None,3.4375,None,None,440,680
5,1733766897.076278,False,True,None,None,3.4375,None,None,440,680
5,1733766897.5846167,False,True,None,None,0.0,None,None,440,640
5,1733766898.0898755,False,True,None,None,0.0,None,None,440,640
5,1733766898.6356554,False,True,None,None,0.0,None,None,440,640
5,1733766899.108794,False,True,None,None,0.0,None,None,440,640
5,1733766899.6262877,False,True,None,None,0.0,None,None,440,640
5,1733766900.136357,False,True,None,None,0.0,None,None,440,640
5,1733766900.6333435,False,True,None,None,3.4375,None,None,440,680
5,1733766901.1501768,False,True,None,None,3.4375,None,None,480,680
5,1733766901.658383,False,True,None,None,0.0,None,None,480,640
5,1733766902.1631,False,True,None,None,0.0,None,None,480,640
5,1733766902.6746917,False,True,None,None,6.875,None,None,480,720
5,1733766903.1977992,False,True,None,None,17.1875,None,None,480,840
5,1733766903.741235,False,True,None,None,17.1875,None,None,480,840
5,1733766904.196322,False,True,None,None,17.1875,None,None,480,840
5,1733766904.705158,False,True,None,None,13.75,None,None,480,800
6,1733766934.3017688,False,True,None,None,13.75,None,None,440,800
6,1733766935.2786233,False,True,None,None,10.3125,None,None,440,760
6,1733766935.8005505,False,True,None,None,10.3125,None,None,440,760
6,1733766936.2859008,False,True,None,None,10.3125,None,None,440,760
6,1733766936.7862737,False,True,None,None,10.3125,None,None,440,760
6,1733766937.2969284,False,True,None,None,6.875,None,None,440,720
6,1733766937.8087437,False,True,None,None,6.875,None,None,440,720
6,1733766938.3148606,False,True,None,None,6.875,None,None,440,720
6,1733766938.8181815,False,True,None,None,6.875,None,None,440,720
6,1733766939.3300383,False,True,None,None,6.875,None,None,440,720
6,1733766939.8450818,False,True,None,None,6.875,None,None,440,720
6,1733766940.354946,False,True,None,None,6.875,None,None,440,720
6,1733766940.8778105,False,True,None,None,6.875,None,None,440,720
6,1733766941.3702383,False,True,None,None,6.875,None,None,440,720
6,1733766941.8782089,False,True,None,None,6.875,None,None,440,720
6,1733766942.386123,False,True,None,None,6.875,None,None,440,720
6,1733766942.8974583,False,True,None,None,6.875,None,None,440,720
6,1733766943.406659,False,True,None,None,6.875,None,None,440,720
6,1733766943.919896,False,True,None,None,6.875,None,None,440,720
6,1733766944.4254205,False,True,None,None,6.875,None,None,440,720
6,1733766944.9347498,False,True,None,None,6.875,None,None,440,720
6,1733766945.448954,False,True,None,None,6.875,None,None,440,720
6,1733766945.971956,False,True,None,None,6.875,None,None,440,720
6,1733766946.4610188,False,True,None,None,6.875,None,None,440,720
6,1733766946.9677193,False,True,None,None,3.4375,None,None,440,680
6,1733766947.4846,False,True,None,None,3.4375,None,None,440,680
6,1733766947.9924736,False,True,None,None,3.4375,None,None,440,680
6,1733766948.496792,False,True,None,None,3.4375,None,None,440,680
6,1733766949.0095167,False,True,None,None,3.4375,None,None,440,680
6,1733766949.5178826,False,True,None,None,3.4375,None,None,440,680
6,1733766950.025921,False,True,None,None,3.4375,None,None,440,680
6,1733766950.5417013,False,True,None,None,3.4375,None,None,480,680
6,1733766951.067535,False,True,None,None,3.4375,None,None,480,680
6,1733766951.55718,False,True,None,None,3.4375,None,None,480,680
6,1733766952.065162,False,True,None,None,0.0,None,None,480,640
6,1733766952.5744362,False,True,None,None,0.0,None,None,480,640
6,1733766953.0852644,False,True,None,None,6.875,None,None,440,720
6,1733766953.6001282,False,True,None,None,3.4375,None,None,440,680
6,1733766954.1085212,False,True,None,None,3.4375,None,None,440,680
6,1733766954.6138022,False,True,None,None,0.0,None,None,440,640
6,1733766955.127666,False,True,None,None,0.0,None,None,440,640
6,1733766955.6369987,False,True,None,None,0.0,None,None,440,640
6,1733766956.1665604,False,True,None,None,0.0,None,None,440,640
6,1733766956.658352,False,True,None,None,0.0,None,None,440,640
6,1733766957.1603136,False,True,None,None,3.4375,None,None,440,680
6,1733766957.6741965,False,True,None,None,3.4375,None,None,480,680
6,1733766958.191116,False,True,None,None,3.4375,None,None,480,680
6,1733766958.6912422,False,True,None,None,0.0,None,None,480,640
6,1733766959.1936367,False,True,None,None,0.0,None,None,480,640
6,1733766959.7146058,False,True,None,None,3.4375,None,None,480,680
6,1733766960.2250674,False,True,None,None,10.3125,None,None,480,760
