time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1733722992.0769536,True,False,None,None,None,None,None,None,None
1733722993.061613,True,False,None,None,None,None,None,None,None
1733722993.8211763,True,False,None,None,None,None,None,None,None
1733722994.3234906,True,False,None,None,None,None,None,None,None
1733722994.8248312,True,False,None,None,None,None,None,None,None
1733722995.3359685,True,False,None,None,None,None,None,None,None
1733722995.8488803,True,False,None,None,None,None,None,None,None
1733722996.394828,True,False,None,None,None,None,None,None,None
1733722997.1210382,True,False,None,None,None,None,None,None,None
1733722997.6282709,True,False,None,None,None,None,None,None,None
1733722998.1374347,True,False,None,None,None,None,None,None,None
1733722998.6459754,True,False,None,None,None,None,None,None,None
1733722999.1543717,True,False,None,None,None,None,None,None,None
1733722999.6710768,True,False,None,None,None,None,None,None,None
1733723000.1814275,True,False,None,None,None,None,None,None,None
1733723000.6885123,True,False,0.43911197850498884,9.504687500000001,None,798.0633455576316,673.2442172164193,None,None
1733723001.196403,True,False,0.41677588774085694,8.602343750000001,None,783.1241468124874,550.9245390105934,None,None
1733723001.7401996,True,False,0.41120809364227173,5.23359375,None,727.7330102775377,519.146552946795,None,None
1733723002.470743,True,False,0.40537165119521995,1.8046875,None,670.6880563163708,506.7831309645925,None,None
1733723002.9823296,True,False,0.4000025266896355,-2.165625,None,604.6980093373347,501.4211292024229,None,None
1733723003.4910529,True,False,0.3945689129811103,-6.3765625,None,534.2290951692156,504.6955977660217,None,None
1733723004.0006952,True,False,0.3940268277768889,-2.40625,None,600.5406267895604,492.61759344811077,None,None
1733723004.51449,True,False,0.3952445166582454,1.3234375,None,662.7415280140906,494.53812111171993,None,None
1733723005.0222752,True,False,0.3952835412260554,6.67734375,None,751.2623700324957,501.16844287321595,None,None
1733723005.5234387,True,False,0.38493033243438085,2.2859375,None,678.0260431930446,485.91424336203306,None,None
1733723006.0370173,True,False,0.3776936499616743,-0.8421875,None,626.353643983598,499.2630065850959,None,None
1733723006.551805,True,False,0.37392645030834126,-5.4140625,None,550.2523968393922,507.0764925761348,None,None
1733723007.1040368,True,False,0.3610275732043764,-5.534375,None,548.4007525351873,536.2318473607751,None,None
1733723007.825697,True,False,0.3589047422917132,-2.2257812500000003,None,603.0222636496978,533.714351526499,None,None
1733723008.3287644,True,False,0.36190044602671945,0.240625,None,644.7429510455205,533.164584770625,None,None
1733723008.8367622,True,False,0.36247111050139746,3.2484375,None,694.1510105633758,534.8497956726432,None,None
1733723009.3533266,True,False,0.3492319716196624,1.2632812500000001,None,661.273004619743,576.5560910259657,None,None
1733723009.8603241,True,False,0.3412044852576294,-5.11328125,None,555.5570274322652,571.7050238988221,None,None
1733723010.369042,True,False,0.33737292487166126,-9.68515625,None,479.5794010488979,574.380045113433,None,None
1733723010.8785198,True,False,0.3424924695057604,-4.9328125,None,558.7409284621812,576.8121110153768,None,None
1733723011.389083,True,False,0.34465035232226726,-1.684375,None,612.9543627575406,579.0177706890956,None,None
1733723011.8865163,True,False,0.3463004431471665,0.7820312500000001,None,653.4888192183168,572.9832748812664,None,None
1733723012.4402716,True,False,0.34788289927043187,3.4890625,None,698.4389038949753,572.1190091691461,None,None
1733723013.168662,True,False,0.3347686427592544,1.684375,None,668.4942946682401,573.4895650280456,None,None
1733723013.681234,True,False,0.3263511608223549,-3.91015625,None,575.384501282719,561.3809258086783,None,None
1733723014.187937,True,False,0.323270618476699,-7.7,None,512.4116774661064,566.7147134025997,None,None
1733723014.695146,True,False,0.3283188681767211,-3.0078125,None,590.8199213758263,563.2801770283178,None,None
1733723015.2052217,True,False,0.32733899846300685,-1.0828125,None,622.349210056076,565.3590640204385,None,None
1733723015.7128084,True,False,0.3263210840011134,-0.48125,None,632.5043454420347,559.1478736514792,None,None
