time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1733767112.0201757,True,True,0.4489604074216977,24.831406250000004,6.875,1151.0115444414141,512.5573003944653,440,720
1733767112.7532947,True,True,0.4515563992536988,23.908125000000002,6.875,1132.8290264162174,512.9200863990644,440,720
1733767113.5417676,True,True,0.4582397265265284,20.360781250000002,0.0,1059.1011882335833,517.6813437799578,440,640
1733767114.260586,True,True,0.466628148303097,16.4246875,0.0,978.82915171914,526.898218559248,440,640
1733767115.0260339,True,True,0.47127241083373167,13.654843750000001,-3.4375,921.6820559945601,533.4292136551359,440,600
1733767115.7943926,True,True,0.4738379621618368,12.002656250000001,-3.4375,887.7603381345772,538.4442465506097,440,600
1733767116.5478156,True,True,0.4735392967433783,11.711093750000002,-3.4375,881.8086607974118,540.647512640569,440,600
1733767117.316655,True,True,0.4736772067311845,11.322343750000002,-3.4375,873.6504906765099,543.5136848455923,440,600
1733767118.0765197,True,True,0.47438608335853616,10.64203125,-6.875,859.684387633398,547.2308423115034,440,560
1733767118.8842149,True,True,0.4748270968171415,10.2046875,-6.875,850.2131937298918,550.7551967903904,440,560
1733767119.603111,True,True,0.47511873409504374,9.621562500000001,-6.875,838.682547784053,553.3801224234244,440,560
1733767120.3719342,True,True,0.47576876255793316,9.184218750000001,-6.875,829.9647326995637,555.5153443578322,440,560
1733767121.1315525,True,True,0.47584378262003835,8.6496875,-6.875,818.2113081051918,557.5880389795157,440,560
1733767121.9054039,True,True,0.47606479931940227,8.406718750000001,-6.875,813.9707328305869,558.4667495675013,440,560
1733767122.6666036,True,True,0.42575140990947635,11.322343750000002,-6.875,873.9559135523248,565.8323233045065,440,560
1733767123.4289207,True,True,0.377526983336802,11.711093750000002,-6.875,881.2399341333878,572.916427563207,440,560
1733767124.2331998,True,True,0.36048804563452114,9.47578125,-10.3125,835.5074492783868,530.3841766415417,440,520
1733767124.958229,True,True,0.3612471161596603,7.1918750000000005,-10.3125,788.2809722466419,533.8380588500656,440,520
1733767125.7164965,True,True,0.31936168116261865,9.08703125,-10.3125,827.3309792346228,551.1655390534034,440,520
1733767126.238532,True,True,0.30882053678420185,13.460468750000002,-6.875,917.8057450702639,531.5952461518401,440,560
1733767126.9905329,True,True,0.2868499734625171,11.370937500000002,-13.75,874.4347979734478,578.3541695247264,440,480
1733767127.7595518,True,True,0.2761148118787467,8.309531250000001,-13.75,811.2999783946931,557.431904789881,440,480
1733767128.517454,True,True,0.27487837625529626,12.877343750000001,-10.3125,905.8552111083401,549.3776538951548,440,520
1733767129.3291185,True,True,0.27211029057041464,16.2303125,-10.3125,974.4998468310171,544.3049748782328,440,520
1733767130.0399354,True,True,0.2756834890033693,10.64203125,-13.75,859.1794624860938,551.1101919547971,440,480
1733767130.8125541,True,True,0.27682358134451807,7.823593750000001,-13.75,801.4438073412882,557.5587748768003,440,480
1733767131.577727,True,True,0.27570266771545265,12.634375000000002,-10.3125,900.4340548283833,548.6286789630583,440,520
1733767132.3379726,True,True,0.2727098059925225,16.18171875,-10.3125,973.1626403289005,542.6823621199393,440,520
1733767133.1099417,True,True,0.27607059391763983,10.836406250000001,-13.75,863.7860809533902,548.6240745088932,440,480
1733767133.8685114,True,True,0.27677128657948785,8.017968750000001,-13.75,805.8932186926173,554.1783476839047,440,480
1733767134.6801329,True,True,0.275807879321957,13.168906250000001,-10.3125,911.9980137051604,546.3610177503855,440,520
1733767135.3971903,True,True,0.2726790708504775,16.86203125,-10.3125,987.1305047706832,540.971783983487,440,520
1733767136.1616707,True,True,0.2753612013248997,11.613906250000001,-10.3125,879.1299753813496,546.2802192408091,440,520
1733767136.9246438,True,True,0.2771714339179522,9.281406250000002,-10.3125,831.3417246012156,552.1555362416672,440,520
1733767137.6866071,True,True,0.2333160393936925,13.849218750000002,-13.75,925.9416293821417,591.891714905422,480,480
1733767138.4574208,True,True,0.1840461549864061,22.353125000000002,-6.875,1100.2933748943422,637.1250203880745,480,560
